Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
Informer,Snow,August 1992,"Reggae fusion, hip hop, dancehall",4:28,EastWest,"Edmond Leary, Darrin O'Brien, Shawn Moltke, Terri Moltke, Jeffrey Silva, associate writer)",MC Shan,,,August 1992
Inside Your Heaven,Carrie Underwood,"June 14, 2005","Country, country pop",3:45,"Arista, 19, S","Andreas Carlsson, Pelle Nylén, Savan Kotecha",Desmond Child,,,14 06 2005
Invisible Touch,Genesis,19 May 1986,Dance-rock,3:27,"Charisma, Virgin, Atlantic, Vertigo","Tony Banks, Phil Collins, Mike Rutherford","Genesis, Hugh Padgham",Phil Collins,,19 May 1986
In da Club,50 Cent,"January 7, 2003","East Coast hip hop, gangsta rap",3:13,"Aftermath, Shady, Interscope","Curtis Jackson, Andre Young, Mike Elizondo","Dr. Dre, Mike Elizondo",,,07 01 2003
In My Feelings,Drake,"July 10, 2018","Hip hop, Bounce",3:37,"Young Money, Cash Money, Republic","Aubrey Graham, Benny Workman, Darius Harrison, Nick Kobe, Caresha Brownlee, Jatavia Johnson, Stephen Garrett, James Scheffer, Rex Zamor, Dwayne Carter, Jr, Ibra Ake, Renetta Lowe-Bridgewater, Orville Hall, Phillip Price, Noah Shebib","TrapMoneyBenny, Blaqnmild",,,10 07 2018
In the Year 2525,Zager and Evans,1969,"Psychedelic rock, folk rock",3:10,"Truth;, RCA Victor",Rick Evans,Zager and Evans,,,1969
Irreplaceable,Beyoncé,"October 23, 2006","Pop, R&B",3:47,Columbia,,"Beyoncé Knowles, Stargate, Ne-Yo","Shaffer ""Ne-Yo"" Smith","Beyoncé Knowles, Tor Erik Hermansen, Espen Lind, Amund Bjorklund, Mikkel S. Eriksen",23 10 2006
Islands in the Stream,"Kenny Rogers, Dolly Parton","August 15, 1983",Soft rock,4:08,RCA Records,"Barry Gibb, Robin Gibb, Maurice Gibb",Gibb-Galuten-Richardson,,,15 08 1983
Island Girl,Elton John,29 September 1975,Reggae,3:42,"MCA, (US), DJM, (UK)","Elton John, Bernie Taupin",Gus Dudgeon,,,29 September 1975
Isn't It a Pity,George Harrison,23 November 1970,Folk rock,7:10,Apple,George Harrison,"George Harrison, , Phil Spector",,,23 November 1970
Is It Over Now?,Taylor Swift,"October 31, 2023",Electropop,3:49,Republic,"Taylor Swift, Jack Antonoff","Taylor Swift, Jack Antonoff",,,31 10 2023
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,June 1960,"Novelty, pop",2:19,"Leader/, Kapp","Paul Vance, Lee Pockriss",,,,June 1960
It Must Have Been Love,Roxette,2 December 1987,"Soft rock, pop",4:48,EMI,Per Gessle,Clarence Öfwerman,,,2 December 1987
It's All in the Game,,,,,,,,Carl Sigman,Charles G. Dawes,
It's Gonna Be Me,NSYNC,"June 13, 2000",Pop,3:11,Jive,"Max Martin, Andreas Carlsson, Rami",Rami,,,13 06 2000
It's My Party,Lesley Gore,"April 5, 1963",Pop,2:19,Mercury,"Walter Gold, John Gluck Jr, Herb Weiner, Seymour Gottlieb",Quincy Jones,,,05 04 1963
It's Now or Never,Elvis Presley,"July 5, 1960",Pop,3:15,RCA Victor,"Wally Gold, Aaron Schroeder, Eduardo di Capua",,,,05 07 1960
It's Only Make Believe,Conway Twitty,"July 14, 1958","Rock and roll, rockabilly",2:10,MGM,"Jack Nance, Conway Twitty",Jim Vienneau,,,14 07 1958
It's Still Rock and Roll to Me,Billy Joel,"May 12, 1980","New wave, doo-wop, rock, rockabilly, pop rock",2:57,Columbia,Billy Joel,Phil Ramone,,,12 05 1980
It's Too Late,Carole King,"April 16, 1971","Pop, soft rock, jazz",3:51,Ode,,Lou Adler,Toni Stern,Carole King,16 04 1971
It Wasn't Me,Shaggy,7 November 2000,Reggae,3:47,MCA,"Orville Burrell, Rickardo Ducent, Shaun Pizzonia, Brian Thompson","Shaun ""Sting"" Pizzonia",,,7 November 2000
I Adore Mi Amor,Color Me Badd,"July 11, 1991",R&B,4:49,Giant,"Hamza Lee, Color Me Badd","Hamza Lee, Royal Bayyan",,,11 07 1991
I Am Woman,Helen Reddy,May 1972,"Pop, soft rock",3:24,Capitol,"Ray Burton, Helen Reddy",Jay Senter,,,May 1972
I Believe,Fantasia,"June 15, 2004",,5:02,"J, 19, S","Tamyra Gray, Sam Watters, Louis Biancaniello","Louis Biancaniello, Sam Watters",,,15 06 2004
I Can Help,Billy Swan,July 1974,"Rockabilly, country",2:58,Monument,Billy Swan,"Chip Young, and Billy Swan",,,July 1974
I Can See Clearly Now,Johnny Nash,"June 23, 1972","Reggae, soul, R&B",2:45,Epic,Johnny Nash,Johnny Nash,,,23 06 1972
I Can't Get Next to You,the Temptations,"July 30, 1969","Funk, psychedelic soul",2:51,"Gordy, G 7093","Norman Whitfield, Barrett Strong",Norman Whitfield,,,30 07 1969
I Can't Go for That,Daryl Hall & John Oates,November 1981,"Synth-pop, soft rock",5:09,RCA,"Sara Allen, Daryl Hall, John Oates",Hall & Oates,,,November 1981
I Can't Help Myself,Four Tops,"April 23, 1965","Soul, pop",2:46,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier, Eddie Holland",,,23 04 1965
I Can't Stop Loving You,Don Gibson,December 1957,Country,2:37,RCA Victor,Don Gibson,Chet Atkins,,,December 1957
I Don't Have the Heart,James Ingram,"August 25, 1990","Pop, R&B",4:14,Warner Bros.,"Allan Rich, Jud Friedman","Thom Bell, , James Ingram",,,25 08 1990
I Don't Wanna Cry,Mariah Carey,March 1991,Pop,4:47,Columbia,"Mariah Carey, Narada Michael Walden",Narada Michael Walden,,,March 1991
I Don't Want to Miss a Thing,Aerosmith,"July 29, 1998","Hard rock, pop rock, glam metal",4:59,Columbia,Diane Warren,Matt Serletic,,,29 07 1998
I'd Do Anything for Love,"Meat Loaf, Lorraine Crosby","August 31, 1993",Wagnerian rock,12:01,"MCA, Virgin, (Europe and Japan)",Jim Steinman,Jim Steinman,,,31 08 1993
I Feel Fine,the Beatles,23 November 1964,"Rock and roll, pop rock",2:25,"Capitol, (US), Parlophone, (UK)",Lennon–McCartney,George Martin,,,23 November 1964
I Feel the Earth Move,Carole King,"April 16, 1971",Pop rock,3:00,Ode,Carole King,Lou Adler,,,16 04 1971
I Get Around,the Beach Boys,"May 11, 1964","Rock, doo-wop, surf, car song, California sound",2:12,Capitol,"Brian Wilson, Mike Love",Brian Wilson,,,11 05 1964
I Gotta Feeling,the Black Eyed Peas,"June 15, 2009",Dance-pop,4:49,Interscope,"William Adams, Stacy Ferguson, Jaime Gomez, David Guetta, Allan Pineda, Frédéric Riesterer","David Guetta, Frédéric Riesterer",,,15 06 2009
I Got You Babe,Sonny & Cher,"July 9, 1965","Folk rock, pop",3:11,Atco,Sonny Bono,Sonny Bono,,,09 07 1965
I Had Some Help,"Post Malone, Morgan Wallen","April 10, 2024",Country pop,2:58,"Republic, Mercury","Austin Post, Morgan Wallen, Louis Bell, Ryan Vojtesak, Jonathan Hoskins, Ernest Keith Smith, Ashley Gorley, Chandler Paul Walters","Louis Bell, Charlie Handsome, Jonathan Hoskins",,,10 04 2024
I Heard It Through the Grapevine,Gladys Knight & the Pips,"September 28, 1967","R&B, Southern soul",2:52,Soul,"Norman Whitfield, Barrett Strong",Norman Whitfield,,,28 09 1967
I Hear a Symphony,the Supremes,"October 6, 1965","Pop, R&B",2:38,"Motown, M 1083",Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,06 10 1965
I Honestly Love You,Olivia Newton-John,August 1974,"Soft rock, pop, country",3:40,EMI,"Jeff Barry, Peter Allen",John Farrar,,,August 1974
I Just Called to Say I Love You,Stevie Wonder,"August 1, 1984",R&B,6:17,"Motown, – MOT-684",Stevie Wonder,Stevie Wonder,,,01 08 1984
I Just Can't Stop Loving You,"Michael Jackson, Siedah Garrett","July 20, 1987","Pop, R&B",4:25,"Epic, CBS",Michael Jackson,"Quincy Jones, Michael Jackson (, co., )",,,20 07 1987
I Just Want to Be Your Everything,Andy Gibb,April 1977,"Disco, funk",3:47,RSO,Barry Gibb,Gibb-Galuten-Richardson,,,April 1977
I Kissed a Girl,Katy Perry,"April 28, 2008","Pop rock, electropop, new wave, glam rock",3:00,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Cathy Dennis","Dr. Luke, Benny Blanco",,,28 04 2008
I Knew I Loved You,Savage Garden,28 September 1999,,4:10,"Roadshow, Columbia","Daniel Jones, Darren Hayes","Daniel Jones, Darren Hayes, Walter Afanasieff",,,28 September 1999
I Knew You Were Waiting,"Aretha Franklin, George Michael",23 January 1987,"Dance-pop, gospel, soul",4:01,Arista,"Simon Climie, Dennis Morgan",Narada Michael Walden,,,23 January 1987
I Like It,"Cardi B, Bad Bunny, J Balvin","May 25, 2018","Latin trap, hip hop",4:13,Atlantic,"Belcalis Almanzar, Benito Ocasio, José Osorio, Tony Pabón, Marcos Masis, Jesus Nieves, Manny Rodriguez, Jorden Thorpe, Anthony White, Vincent Watson, Edgar Machuca, Xavier Vargas, Edgar Vargas, Benny Bonnilla","J. White Did It, Tainy, Craig Kallman, Invincible",,,25 05 2018
I Like the Way,Hi-Five,"January 2, 1991","New jack swing, R&B, teen pop",5:49,Jive,"Teddy Riley, Bernard Belle, Dave Way",Teddy Riley,,,02 01 1991
I'll Be Loving You,New Kids on the Block,"April 10, 1989","Pop, R&B, blue-eyed soul",4:28,Columbia,Maurice Starr,Maurice Starr,,,10 04 1989
I'll Be Missing You,"Puff Daddy, Faith Evans, 112","May 27, 1997","Hip hop, R&B, soul, rap rock, soft rock",5:43,"Bad Boy, Arista","Sting, Todd Gaither, Faith Evans","Puff Daddy, Stevie J",,,27 05 1997
I'll Be There for You,Bon Jovi,February 1989,"Glam metal, hard rock",5:46,Mercury,"Jon Bon Jovi, Richie Sambora",Bruce Fairbairn,,,February 1989
I'll Be There,The Jackson 5,"August 28, 1970",Soul,3:57,"Motown, (M 1171)","Berry Gordy, Bob West, Willie Hutch, Hal Davis",Hal Davis,,,28 08 1970
I'll Be Your Everything,Tommy Page,"February 19, 1990","Pop, teen pop",4:10,Sire,"Jordan Knight, Danny Wood, Tommy Page","Jordan Knight, Donnie Wahlberg, Michael Jonzun",,,19 02 1990
I'll Make Love to You,Boyz II Men,"July 26, 1994",R&B,3:56,Motown,Babyface,Babyface,,,26 07 1994
I'll Take You There,the Staple Singers,February 1972,"Funk, gospel, soul",4:433,Stax,Al Bell,Al Bell,,,February 1972
I Love a Rainy Night,Eddie Rabbitt,"November 10, 1980","Country, rockabilly",3:08,Elektra,"David Malloy, Eddie Rabbitt, Even Stevens",David Malloy,,,10 11 1980
I Love Rock 'n' Roll,Arrows,July 1975,Hard rock,2:48,RAK,"Alan Merrill, Jake Hooker",Mickie Most,,,July 1975
I'm a Believer,the Monkees,November 1966,"Pop rock, blue-eyed soul",2:47,Colgems,Neil Diamond,Jeff Barry,,,November 1966
"I'm Henery the Eighth, I Am",Harry Champion,,Music Hall,,,"Fred Murray, R, P, Weston",,,,
I'm Leaving It Up to You,Dale & Grace,September 1963,Doo-wop,2:13,Montel,"Don F, Harris, Dewey Terry",Sam Montel,,,September 1963
I'm Real,"Jennifer Lopez, Ja Rule","June 19, 2001","Pop, R&B, (album version), hip hop, R&B (Murder Remix)",4:58,Epic,"Jennifer Lopez, Troy Oliver, Cory Rooney, Leshan Lewis, Martin Denny","Troy Oliver, Cory Rooney, L.E.S.",,,19 06 2001
I'm Sorry,Brenda Lee,16 May 1960,Countrypolitan,2:40,"Decca Records, 9-31093","Dub Allbritten, Ronnie Self",Owen Bradley,,,16 May 1960
I'm Sorry,John Denver,July 1975,Country,3:32,RCA Victor,John Denver,Milton Okun,,,July 1975
I'm Telling You Now,Freddie and the Dreamers,September 1963,Merseybeat,2:05,"Columbia (EMI), DB 7086 (UK), Tower 125 (USA)","Freddie Garrity, Mitch Murray",John Burgess,,,September 1963
I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","April 28, 2017","Hip hop, pop-rap",4:49,"We the Best, Epic","Khaled Khaled, Justin Bieber, Quavious Marshall, Chancelor Bennett, Dwayne Carter Jr, Nicholas Balding, Jason Boyd, Robert Brackins III, David Park, Ray Jacobs","DJ Khaled, Nic Nac",,,28 04 2017
I'm Too Sexy,Right Said Fred,15 July 1991,"Dance-pop, Eurodance",2:50,"Tug, (UK), Charisma, (US)","Fred Fairbrass, Richard Fairbrass, Rob Manzoli",TommyD,,,15 July 1991
I'm Your Angel,"Celine Dion, R. Kelly",13 October 1998,"R&B, pop, soul, gospel",5:31,"Epic, Jive",Robert Kelly,R. Kelly,,,13 October 1998
I'm Your Baby Tonight,Whitney Houston,"September 28, 1990","R&B, new jack swing",4:59,Arista,"L.A, Reid, Babyface","L.A. Reid, Babyface",,,28 09 1990
I'm Your Boogie Man,KC and the Sunshine Band,1977,Disco,4:04,TK,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch",,,1977
I Remember Everything,"Zach Bryan, Kacey Musgraves","September 8, 2023",Country,3:47,"Belting Bronco, Warner","Zach Bryan, Kacey Musgraves",Zach Bryan,,,08 09 2023
I Shot the Sheriff,Bob Marley and the Wailers,12 February 1973,Reggae,4:41,"Tuff Gong, Island",Bob Marley,"Chris Blackwell, The Wailers",,,12 February 1973
I Still Haven't Found What I'm Looking For,U2,25 May 1987,"Rock, gospel",4:37,Island,,"Daniel Lanois, Brian Eno",Bono,U2,25 May 1987
I Swear,John Michael Montgomery,"November 19, 1993",Country,4:22,Atlantic Nashville,"Gary Baker, Frank J, Myers",Scott Hendricks,,,19 11 1993
I Think I Love You,The Partridge Family,"August 22, 1970","Baroque pop, bubblegum pop",2:54,Bell,Tony Romeo,Wes Farrell,,,22 08 1970
I Think We're Alone Now,Tommy James and the Shondells,January 1967,"Pop rock, bubblegum pop, garage rock",2:08,Roulette,Ritchie Cordell,Ritchie Cordell,,,January 1967
I've Been Thinking About You,Londonbeat,"September 24, 1990","Dance-pop, Eurodance",5:17,"Radioactive, Anxious","Jimmy Chambers, George Chandler, Jimmy Helms, William Henshall",Martyn Phillips,,,24 09 1990
I Wanna Dance with Somebody,Whitney Houston,"April 28, 1987","Pop, dance-pop, R&B",4:51,Arista,"George Merrill, Shannon Rubicam",Narada Michael Walden,,,28 04 1987
I Wanna Love You,"Akon, Snoop Dogg","October 5, 2006","Hip hop, R&B",4:072,"SRC, Universal, Konvict, UpFront, Geffen, Doggystyle","Cordozar Broadus, Aliaune, Akon, Thiam",Akon,,,05 10 2006
I Want to Be Wanted,Brenda Lee,July1960,Orchestral pop,3:05,Decca Records,"Kim Gannon, Pino Spotti, Alberto Testa",Owen Bradley,,,July1960
I Want to Hold Your Hand,the Beatles,29 November 1963,"Rock and roll, pop",2:24,"Parlophone, (UK) ·, Capitol, (US)",Lennon–McCartney,George Martin,,,29 November 1963
I Want to Know What Love Is,Foreigner,"November 21, 1984",Soft rock,5:046,Atlantic,Mick Jones,"Mick Jones, Alex Sadkin",,,21 11 1984
I Want You Back,the Jackson 5,"October 7, 1969","Pop, soul",2:59,"Motown, M 1157","The Corporation, Berry Gordy, Freddie Perren, Alphonso Mizell, Deke Richards",The Corporation,,,07 10 1969
I Will Always Love You,Dolly Parton,"March 11, 1974",Country,2:54,RCA Victor,Dolly Parton,Bob Ferguson,,,11 03 1974
I Will Always Love You,Whitney Houston,"November 2, 1992","Pop, soul, R&B",4:31,Arista,Dolly Parton,David Foster,,,02 11 1992
I Will Follow Him,Little Peggy March,"January 22, 1963",Pop,2:25,RCA Victor,"Franck Pourcel, Paul Mauriat, Arthur Altman, Norman Gimbel",Hugo & Luigi,,,22 01 1963
I Will Survive,Gloria Gaynor,"October 23, 1978","Disco, pop, soul",4:56,Polydor,"Freddie Perren, Dino Fekaris","Freddie Perren, Dino Fekaris",,,23 10 1978
I Wish,Stevie Wonder,November 1976,"Funk, soul, pop",4:12,Tamla,Stevie Wonder,Stevie Wonder,,,November 1976
I Write the Songs,Captain & Tennille,"May 23, 1975","Pop, adult contemporary",,A&M,Bruce Johnston,Daryl Dragon,,,23 05 1975
Jack & Diane,John Mellencamp,"July 24, 1982","Heartland rock, hard rock",4:16,Riva,John Mellencamp,"John Mellencamp, , , Don Gehman",,,24 07 1982
Jacob's Ladder,Huey Lewis and the News,January 1987,Rock,3:33,Chrysalis,"Bruce Hornsby, John Hornsby",Huey Lewis and the News,,,January 1987
Jessie's Girl,Rick Springfield,February 1981,Power pop,3:14,RCA Records,Rick Springfield,Keith Olsen,,,February 1981
Jimmy Cooks,"Drake, 21 Savage","October 11, 2022",Trap,3:38,"OVO, Republic","Aubrey Graham, Shéyaa Bin Abraham-Joseph, Brytavious Chambers, Anderson Hernandez, Kevin Gomringer, Tim Gomringer, Douglas Ford, Ibn Young, Harry Ray, Al Goodman, Walter Morris, Artem Teslenko","Vinylz, Tay Keith, Cubeatz, Tizzle",,,11 10 2022
Jive Talkin',Bee Gees,May 1975,"Funk, disco, R&B, blue-eyed soul",3:44,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb",Arif Mardin,,,May 1975
Johnny Angel,Shelley Fabares,February 1962,Pop,2:19,Colpix,Lyn Duddy Lee Pockriss,Stu Phillips,,,February 1962
Joyride,Roxette,25 February 1991,"Pop rock, dance rock",4:24,EMI,Per Gessle,Clarence Öfwerman,,,25 February 1991
Joy to the World,Three Dog Night,February 1971,"Rock, white soul",3:40,Dunhill,Hoyt Axton,Richard Podolor,,,February 1971
Judy in Disguise,John Fred & His Playboy Band,October 1967,"R&B, novelty, pop rock",2:55,Paula,"John Fred Gourrier, Andrew Bernard","John Fred Gourrier, Andrew Bernard",,,October 1967
Jump,Kris Kross,"February 6, 1992",Hip hop,3:17,"Ruffhouse, Columbia","Jermaine Dupri, Joe, The Butcher, Nicolo, Alphonso Mizell, Berry Gordy, Deke Richards, Freddie Perren, Marshall, Rock, Jones, Leroy, Sugarfoot, Bonner, Ralph, Pee Wee, Middlebrooks, Gregory, Greg, Webster, Clarence, Satch, Satchell, Bruce Napier, Walter, Junie, Morrison, Marvin, Merv, Pierce, Roy C, Hammond, Louis Freese, Lawrence Muggerud, Senen Reyes, Lowell Fulson, Jimmy McCracklin, James Brown, J.B, Weaver Jr, Anthony Criss, Kier Gist, Vincent Brown, Herb Rooney","Jermaine Dupri, Joe ""The Butcher"" Nicolo",,,06 02 1992
Jump,Van Halen,December 1983,"Synth-rock, hard rock, pop rock, pop metal, glam metal",4:02,Warner Bros.,"Eddie Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",Ted Templeman,,,December 1983
Justify My Love,Madonna,"November 6, 1990","Hip hop, dance, trip hop, experimental pop",4:58,"Sire, Warner Bros.","Lenny Kravitz, Ingrid Chavez, Madonna","Lenny Kravitz, André Betts",,,06 11 1990
Just Dance,"Lady Gaga, Colby O'Donis","April 8, 2008","Electropop, synth-pop, dance-pop",4:01,"Streamline, KonLive, Cherrytree, Interscope","Stefani Germanotta, Nadir, RedOne, Khayat, Aliaune, Akon, Thiam",RedOne,,,08 04 2008
Just Give Me a Reason,"Pink, Nate Ruess","February 26, 2013",Pop,4:02,RCA,"Pink, Jeff Bhasker, Nate Ruess",Jeff Bhasker,,,26 02 2013
Just My Imagination,The Temptations,"January 14, 1971","Soul, R&B",3:54,"Gordy, (G 7105)","Norman Whitfield, Barrett Strong",Norman Whitfield,,,14 01 1971
Just the Way You Are,Bruno Mars,"July 20, 2010","Pop, soft rock, R&B",3:41,"Elektra, Atlantic","Bruno Mars, Philip Lawrence, Ari Levine, Khalil Walton, Khari Cain","The Smeezingtons, Needlz",,,20 07 2010
Kansas City,Little Willie Littlefield,1952,R&B,,Federal,Jerry Leiber and Mike Stoller,,,,1952
Karma Chameleon,Culture Club,5 September 1983,"Country, soul, new wave",4:12,Virgin,"Boy George, Jon Moss, Mikey Craig, Roy Hay, Phil Pickett",Steve Levine,,,5 September 1983
Keep On Loving You,REO Speedwagon,"November 4, 1980","AOR, soft rock",3:20,Epic,Kevin Cronin,"Kevin Beamish, , Kevin Cronin, , Alan Gratzer, , , Gary Richrath",,,04 11 1980
Keep On Truckin',Eddie Kendricks,August 1973,"Funk, disco, psychedelic soul",3:21,"Tamla, (T 54238)","Leonard Caston Jr, Anita Poree, Frank Wilson",Frank Wilson,,,August 1973
Killing Me Softly with His Song,Lori Lieberman,1972,Folk,3:46,Capitol,"Charles Fox, Norman Gimbel, Lori Lieberman, uncredited",Fox and Gimbel,,,1972
Kill Bill,SZA,"January 10, 2023","Pop, R&B, hip hop",2:35,"Top Dawg, RCA","Solána Rowe, Rob Bisel, Carter Lang","Rob Bisel, Carter Lang",,,10 01 2023
Kind of a Drag,The Buckinghams,December 1966,Pop,2:05,USA Records,Jim Holvay,"Carl Bonafede, , Dan Belloc",,,December 1966
Kiss and Say Goodbye,The Manhattans,March 1976,"R&B, Philadelphia soul",4:28,"Columbia Records, ",Winfred Lovett,"Bobby Martin, Manhattans, Production, Inc.",,,March 1976
Kiss from a Rose,Seal,18 July 1994,"Rock, soul, baroque pop",4:47,"ZTT, Sire, Warner Bros.",Seal Samuel,Trevor Horn,,,18 July 1994
Kiss Kiss,"Chris Brown, T-Pain","September 10, 2007","Hip hop, R&B, pop-rap",4:10,"Jive, Zomba","Chris Brown, Faheem Najm",T-Pain,,,10 09 2007
Kiss on My List,Hall & Oates,November 1980,"Synth-pop, new wave, yacht rock",4:25,RCA Records,"Daryl Hall, Janna Allen","Daryl Hall, John Oates",,,November 1980
Kiss You All Over,Exile,1978,"Soft rock, disco",4:57,"Warner/Curb Records (US), RAK Records, (UK)","Mike Chapman, Nicky Chinn",Mike Chapman,,,1978
Kiss,"Prince, the Revolution","February 5, 1986","Funk, pop",3:38,"Paisley Park, Warner Bros.",Prince,Prince,,,05 02 1986
Knock on Wood,Eddie Floyd,"July 25, 1966","Southern 
R&B, soul, funk",3:06,Stax,"Eddie Floyd, Steve Cropper",Jim Stewart,,,25 07 1966
Knock Three Times,Dawn,November 1970,Pop,2:57,Bell,"Irwin Levine, L, Russell Brown","Hank Medress, Dave Appell",,,November 1970
Kokomo,the Beach Boys,"July 8, 1988","Pop, soft rock",3:35,"Elektra, Capitol","John Phillips, Scott McKenzie, Mike Love, Terry Melcher",Terry Melcher,,,08 07 1988
Kung Fu Fighting,Carl Douglas,1974,Disco,3:15,"Pye, (UK and Canada), 20th Century Fox, (US), Astor, (Australia)",Carl Douglas,Biddu Appaiah,,,1974
Kyrie,Mr. Mister,December 1985,Pop rock,4:25,RCA,"Richard Page, Steve George, John Lang","Mr. Mister, Paul De Villiers",,,December 1985
Lady Marmalade,Labelle,"November 5, 1974","Soul, disco, funk",3:56,Epic,"Bob Crewe, Kenny Nolan","Allen Toussaint, Vicki Wickham",,,05 11 1974
Lady,Kenny Rogers,"September 29, 1980","Country, R&B, soul",3:54,"Liberty, 1380",Lionel Richie,Lionel Richie,,,29 09 1980
Laffy Taffy,D4L,"October 18, 2005",Snap,3:44,WEA,"Lafabian Williams, Adrian Parks, Dennis Butler, Cory Way, Broderick Thompson Smith, Michael Johnson",K-Rab,,,18 10 2005
